HIDRoot12	MorexRoot12	HIDRoot11	RumRhizo12	RumRoot11	MorexRoot11	RumRoot10	HIDRhizo12	MorexRhizo10	HIDRhizo11	RumRhizo10	HIDRoot10	Bulk10	MorexRhizo11	MorexRhizo12	HIDRhizo10	MorexRoot10	RumRhizo11	RumRoot12	Bulk11	Bulk12	MorexRhizo20	RumRhizo21	RumRoot22	MorexRhizo22	RumRhizo20	MorexRhizo23	HIDRhizo21	MorexRoot23	MorexRoot20	Bulk23	Bulk20	RumRoot20	HIDRoot20	Bulk22	MorexRoot22	HIDRhizo22	HIDRoot21	HIDRoot22	RumRhizo22	RumRoot21	HIDRhizo20
OTU115	1	1	2	7	1	0	1	9	5	4	4	4	12	6	3	7	1	1	0	9	13	6	6	0	4	8	2	2	1	0	18	57	0	4	27	0	2	1	1	1	1	7
OTU97	1	4	3	13	2	1	0	5	8	13	1	3	0	0	2	11	3	2	1	3	3	5	3	0	5	6	5	0	3	4	9	14	0	1	9	0	2	0	0	1	0	4
OTU11	15	45	37	14	25	28	75	4	7	3	7	24	1	6	3	4	48	6	4	3	2	31	7	43	9	22	10	8	37	299	5	9	24	42	12	35	8	100	228	8	52	16
OTU26	13	18	79	31	10	32	36	16	6	50	9	48	0	18	9	7	40	2	4	9	6	40	23	51	9	44	5	13	21	22	19	44	148	12	13	21	3	4	7	10	26	19
OTU805	0	0	4	2	0	1	1	7	0	6	1	2	4	1	3	1	4	0	1	5	5	20	6	0	7	3	7	6	0	2	22	23	0	0	17	7	2	0	1	1	0	5
OTU335	0	1	1	3	0	0	0	5	0	3	4	0	5	2	1	6	0	3	0	1	6	2	0	0	1	2	1	0	0	0	8	14	0	0	10	0	0	0	0	0	0	4
OTU66	1	3	14	41	2	3	8	5	5	34	9	16	1	1	18	15	1	6	4	1	2	7	2	0	2	2	3	2	0	2	3	2	1	2	1	0	0	2	0	5	2	1
OTU64	1	2	12	31	2	4	8	22	12	25	10	11	10	11	18	22	9	6	3	14	13	20	10	1	9	19	13	3	3	11	49	69	2	1	59	6	10	9	3	10	4	11
OTU347	2	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	8	0	0	2	0	0	0	0	0	1	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0
OTU217	4	1	6	22	23	1	0	5	2	9	1	17	1	0	1	2	1	8	2	0	1	2	0	2	4	3	2	3	0	0	0	4	0	0	1	0	1	2	0	1	0	2
OTU141	5	2	8	20	9	5	5	4	8	3	5	20	2	1	12	2	7	2	0	1	1	17	0	3	4	3	6	2	2	1	0	5	1	1	1	7	4	1	4	1	1	8
OTU73	4	1	5	13	3	1	2	7	6	6	5	10	8	9	5	17	6	7	6	12	5	8	1	0	5	6	3	2	0	6	17	16	0	1	13	2	0	0	1	1	1	6
OTU46	13	11	32	61	17	15	22	47	22	35	25	36	12	14	21	41	16	34	3	19	36	34	11	1	12	32	15	6	3	16	11	25	6	4	16	7	6	5	2	2	3	8
OTU1232	0	0	1	0	1	0	2	0	2	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
