R_AtSha16G	R_AtSha17G	R_AtSha18G	AtSha3G	Bulk1G	Bulk2G	Bulk3G	Bulk16G	Bulk17G	Bulk18G	AtLer17G	AtLer18G	AtSha16G	AtLer16G	AtSha17G	AtSha18G	AtLer4G	AtLer5G	AtLer6G	Bulk4G	Bulk5G	Bulk6G	R_AtLer5G	R_AtLer6G	AtLer34G	AtLer36G	AtSha34G	AtSha36G	R_AtLer34G	R_AtLer35G
OTU659	3	0	0	0	0	3	1	2	0	1	0	2	5	5	4	6	0	0	0	5	0	0	0	0	0	0	0	0	4	0
OTU173	1	0	1	2	1	0	1	14	1	4	0	0	9	2	106	4	1	0	8	2	3	0	1	4	0	1	3	7	0	1
OTU453	2	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	9	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU1204	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU526	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	1	2	0	5	1	2	8	0	0	0	0	0	0	1
OTU280	1	0	0	0	0	0	0	0	0	0	2	2	3	3	9	5	4	0	11	0	0	0	0	1	4	0	7	11	1	0
OTU577	3	0	0	0	6	0	4	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU689	1	0	1	0	0	0	1	7	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU362	1	0	0	0	0	0	0	21	0	4	0	0	0	0	7	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0
OTU168	1	2	2	0	1	3	0	81	5	24	1	0	2	4	5	1	0	0	0	4	0	0	1	0	0	1	0	0	0	0
OTU1224	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28	17	1296	1	0	0	9	16	0	29	5	2	2	1
OTU468	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	8	0	0	0
OTU952	1	0	0	0	1	0	3	3	17	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	4
