R_AtSha16G	R_AtSha17G	R_AtSha18G	AtSha3G	Bulk1G	Bulk2G	Bulk3G	Bulk16G	Bulk17G	Bulk18G	AtLer17G	AtLer18G	AtSha16G	AtLer16G	AtSha17G	AtSha18G	AtLer4G	AtLer5G	AtLer6G	Bulk4G	Bulk5G	Bulk6G	R_AtLer5G	R_AtLer6G	AtLer34G	AtLer36G	AtSha34G	AtSha36G	R_AtLer34G	R_AtLer35G
OTU882	0	0	0	0	0	1	0	7	0	1	7	0	14	2	12	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0
OTU1347	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU509	0	0	0	0	0	1	1	5	1	3	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
OTU762	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	10	0	0	0	2	3	0	2	0	0	0	0	0	0	0
OTU887	0	0	0	0	0	3	0	0	0	0	3	3	2	1	0	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU836	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU328	0	0	0	0	0	6	0	0	0	1	10	14	4	0	0	13	0	0	0	5	5	0	0	0	0	0	0	0	0	0
OTU1100	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU506	0	0	0	0	0	3	0	0	0	0	0	8	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU208	0	0	0	0	0	1	0	74	7	2	0	0	2	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU765	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1440	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU741	0	0	0	0	0	1	0	0	0	0	3	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU207	0	0	0	0	0	1	0	5	0	1	3	0	15	10	7	25	5	0	2	0	1	0	0	1	0	0	7	1	0	0
OTU1101	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU587	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU709	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU448	0	0	0	0	0	1	0	4	4	0	2	14	11	3	11	0	5	0	2	2	0	4	0	0	0	0	3	0	0	0
OTU940	0	0	0	0	0	1	0	3	0	0	1	0	1	4	8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU993	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1104	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1158	0	0	0	0	0	1	0	2	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU789	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1035	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU512	0	0	0	0	0	6	0	0	0	0	2	2	1	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0
OTU504	0	0	0	0	0	2	0	0	0	0	1	2	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU848	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU390	0	0	0	0	0	3	0	0	0	0	0	1	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU852	0	0	0	0	0	1	0	2	0	0	1	0	3	2	19	1	1	0	0	0	0	0	1	0	0	0	2	0	0	1
OTU1222	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1093	0	0	0	0	0	2	0	1	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0
OTU462	0	0	0	0	0	1	1	7	0	3	2	3	18	4	21	5	2	0	3	1	1	1	0	0	0	0	2	2	1	0
OTU994	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1309	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU252	0	0	0	0	0	2	1	26	0	1	0	1	11	0	18	0	0	0	5	0	0	0	0	0	2	0	0	0	0	1
OTU968	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	6	0	0	0	2	1	0	0	1	0	0	0	0	0	0
OTU438	0	0	0	0	0	2	0	1	1	11	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU692	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU410	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU790	0	0	0	0	0	2	0	2	0	0	1	8	22	3	19	8	1	0	2	0	0	0	0	0	1	0	2	0	0	0
OTU1359	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU774	0	0	0	0	0	2	0	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0
OTU660	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1207	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1053	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1143	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU213	0	0	0	0	0	1	3	33	4	12	0	3	1	1	25	1	0	0	0	1	2	1	1	1	0	0	0	0	3	0
OTU242	0	0	0	0	0	2	0	0	0	0	8	0	24	0	0	19	0	0	1	2	0	0	0	0	0	0	0	1	0	0
OTU1038	0	0	0	0	0	1	0	1	1	1	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU477	0	0	0	0	0	1	2	3	1	3	1	0	1	0	3	0	0	0	2	0	0	0	0	0	15	0	18	0	0	0
OTU364	0	0	0	0	0	1	0	0	0	0	3	11	0	0	0	1	0	0	0	2	3	0	0	0	0	0	1	0	0	0
OTU1321	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1356	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU923	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
OTU194	0	0	0	0	0	0	2	18	1	7	0	1	4	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1311	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1176	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU611	0	0	0	0	0	0	1	2	0	0	0	0	1	2	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU257	0	0	0	0	0	0	1	33	2	4	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU775	0	0	0	0	0	0	2	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU30	0	0	0	0	0	0	1	0	1	1	2	10	0	15	11	0	0	983	0	12	0	2	0	0	0	0	0	0	1	0
OTU510	0	0	0	0	0	0	1	1	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0
OTU1375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU356	0	0	0	0	0	0	5	7	2	3	2	2	20	6	28	6	0	0	1	1	0	0	0	0	0	2	3	1	11	0
OTU1170	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1392	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU269	0	0	0	0	0	0	1	15	3	9	0	0	6	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU283	0	0	0	0	0	0	1	5	1	1	4	2	4	1	67	0	3	0	1	2	0	2	0	0	0	0	0	1	0	0
OTU1423	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU203	0	0	0	0	0	0	2	17	3	2	1	5	42	12	46	2	5	5	6	0	1	0	1	2	4	4	7	21	4	0
OTU645	0	0	0	0	0	0	0	9	1	2	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU553	0	0	0	0	0	0	0	15	2	2	0	0	0	0	1	0	2	0	0	0	1	6	0	0	0	0	0	0	0	2
OTU478	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU791	0	0	0	0	0	0	0	1	0	4	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0
OTU1054	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1085	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU840	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU811	0	0	0	0	0	0	0	4	0	1	0	4	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU1211	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU837	0	0	0	0	0	0	0	3	0	0	2	0	4	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU1302	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1296	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU615	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU889	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU695	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU843	0	0	0	0	0	0	0	12	0	1	1	1	2	1	14	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
OTU819	0	0	0	0	0	0	0	2	2	0	0	0	4	0	9	0	1	0	3	0	0	0	0	1	0	0	1	1	0	1
OTU597	0	0	0	0	0	0	0	8	2	1	0	0	0	0	6	0	6	0	0	0	6	10	0	0	0	0	0	3	0	1
OTU1168	0	0	0	0	0	0	0	2	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1066	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU780	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1438	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1390	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU991	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1137	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1355	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
OTU363	0	0	0	0	0	0	0	11	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU558	0	0	0	0	0	0	0	2	0	2	2	0	12	2	10	1	0	0	11	0	0	0	0	1	0	0	0	2	2	0
OTU1237	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU588	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	0	0	0	0	0	0
OTU632	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1221	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU886	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1026	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU562	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1344	0	0	0	0	0	0	0	7	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU1333	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1210	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU788	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU943	0	0	0	0	0	0	0	3	0	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1136	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU413	0	0	0	0	0	0	0	8	0	1	0	0	9	2	14	1	0	0	0	0	2	0	0	3	0	1	0	0	1	0
OTU958	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU636	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1377	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU378	0	0	0	0	0	0	0	6	0	4	2	5	4	3	6	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0
OTU1396	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1165	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU756	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
OTU880	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
OTU1285	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1435	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1304	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU1095	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1071	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU580	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU563	0	0	0	0	0	0	0	7	2	2	0	0	0	0	10	0	0	0	1	2	0	2	1	0	0	0	0	0	0	0
OTU849	0	0	0	0	0	0	0	1	0	0	0	4	1	7	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU892	0	0	0	0	0	0	0	3	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU304	0	0	0	0	0	0	0	14	1	4	0	2	8	0	15	0	0	0	0	1	0	0	0	0	19	1	1	1	0	0
OTU624	0	0	0	0	0	0	0	3	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1097	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU690	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1259	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1290	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU571	0	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
OTU610	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1070	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
OTU1203	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU759	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1322	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU455	0	0	0	0	0	0	0	1	1	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU528	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	1	0	3	0	7	1	2	2	0	0	0	0	1	0
OTU581	0	0	0	0	0	0	0	4	0	1	0	0	11	1	14	0	0	3	0	0	0	1	1	4	0	3	0	0	11	0
OTU891	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU763	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU628	0	0	0	0	0	0	0	1	0	0	0	1	10	1	17	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0
OTU511	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU308	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU520	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU177	0	0	0	0	0	0	0	5	0	0	10	5	35	24	58	4	9	0	13	0	0	0	0	1	11	1	8	5	1	0
OTU650	0	0	0	0	0	0	0	6	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU1182	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU535	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1261	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1291	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU330	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU319	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU493	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1406	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1154	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU400	0	0	0	0	0	0	0	8	0	0	0	0	3	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU1144	0	0	0	0	0	0	0	5	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU926	0	0	0	0	0	0	0	2	1	2	0	0	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU814	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1166	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU981	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1023	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU730	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU949	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU688	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU226	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1067	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1368	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	4	1	0	0
OTU910	0	0	0	0	0	0	0	16	3	0	2	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU885	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU565	0	0	0	0	0	0	0	2	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU755	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU1252	0	0	0	0	0	0	0	3	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1427	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1241	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU655	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU466	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
OTU69	0	0	0	0	0	0	0	4	0	1	0	36	99	0	176	27	14	8	24	0	0	0	0	0	0	0	0	0	0	0
OTU1315	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU694	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1109	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU810	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0
OTU844	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU574	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
OTU781	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU838	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1323	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU750	0	0	0	0	0	0	0	2	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU722	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU984	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU1314	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1044	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1342	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1235	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1025	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU966	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU323	0	0	0	0	0	0	0	6	0	1	0	0	12	1	17	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
OTU872	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU697	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU268	0	0	0	0	0	0	0	1	1	2	0	0	1	4	45	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
OTU651	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1051	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1343	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU1036	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
